epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4031,1.22948,3.50553,1.58703,0.00929,0.97619,0.54577,0.40015,0.70959,3.51207,1.25446,0.00013,0.00013,0.00013
2,19.659,0.94562,2.72961,1.3719,0.00666,0.97619,0.7856,0.58809,0.74551,3.03268,1.23905,0.000267327,0.000267327,0.000267327
3,28.0433,1.00126,2.02539,1.3824,0.97729,0.3949,0.87382,0.62922,0.91283,2.20954,1.42726,0.000401882,0.000401882,0.000401882
4,34.0793,1.00109,1.71086,1.33229,0.87387,0.7822,0.87735,0.57883,1.06513,1.7864,1.55155,0.000533665,0.000533665,0.000533665
5,39.5421,0.95444,1.58518,1.37038,0.7611,0.70017,0.81323,0.55349,1.01648,1.692,1.58176,0.000662676,0.000662676,0.000662676
6,48.1029,0.97776,1.52064,1.38512,0.94167,0.77301,0.89385,0.60699,1.04789,1.45329,1.54411,0.000788915,0.000788915,0.000788915
7,53.4169,0.98504,1.51811,1.32742,0.73259,0.8511,0.89022,0.59828,1.06424,1.81029,1.55869,0.000912382,0.000912382,0.000912382
8,60.5243,0.97011,1.6663,1.36163,0.83464,0.74225,0.86107,0.63499,0.91995,1.70947,1.45286,0.0009307,0.0009307,0.0009307
9,67.4695,0.97768,1.52594,1.36629,0.79645,0.63625,0.81209,0.60834,0.93447,1.58782,1.43913,0.0009208,0.0009208,0.0009208
10,72.91,0.99791,1.46604,1.34795,0.76868,0.77134,0.81268,0.57045,1.02699,1.40748,1.52669,0.0009109,0.0009109,0.0009109
11,81.5528,0.91988,1.50172,1.33532,0.83202,0.67854,0.8066,0.53048,1.06985,1.57787,1.58451,0.000901,0.000901,0.000901
12,87.2453,0.97268,1.42598,1.381,0.81685,0.73601,0.8587,0.57193,1.17692,1.31302,1.67848,0.0008911,0.0008911,0.0008911
13,92.9035,0.86888,1.38334,1.29024,0.87089,0.67983,0.89451,0.58145,1.14567,1.36855,1.66839,0.0008812,0.0008812,0.0008812
14,101.434,0.94066,1.29017,1.29869,0.90291,0.644,0.83356,0.54186,1.17952,1.54333,1.7329,0.0008713,0.0008713,0.0008713
15,106.837,0.96679,1.34527,1.33693,0.86927,0.8335,0.86964,0.53714,1.30203,1.40623,1.83217,0.0008614,0.0008614,0.0008614
16,113.194,0.95418,1.3637,1.33485,0.77654,0.82253,0.85971,0.53275,1.22058,1.48826,1.70096,0.0008515,0.0008515,0.0008515
17,120.416,0.87158,1.26493,1.28239,0.88032,0.7925,0.8729,0.59279,1.09058,1.16188,1.573,0.0008416,0.0008416,0.0008416
18,125.782,0.91162,1.2198,1.30951,0.94042,0.83673,0.90683,0.6354,1.10227,1.14597,1.64181,0.0008317,0.0008317,0.0008317
19,133.566,1.00699,1.36993,1.40928,0.93454,0.7996,0.91986,0.55763,1.2839,1.18303,1.81193,0.0008218,0.0008218,0.0008218
20,139.443,0.96719,1.16854,1.35698,0.95744,0.85734,0.92369,0.60757,1.14755,1.06663,1.59473,0.0008119,0.0008119,0.0008119
21,145.012,0.88273,1.10072,1.26943,0.91291,0.90303,0.92335,0.58722,1.17587,1.06509,1.63096,0.000802,0.000802,0.000802
22,153.668,0.87852,1.14875,1.35992,0.90437,0.84281,0.89038,0.55779,1.2708,1.08981,1.69893,0.0007921,0.0007921,0.0007921
23,159.171,0.83266,1.11524,1.24277,0.94891,0.86318,0.92539,0.66953,1.04681,0.95089,1.52924,0.0007822,0.0007822,0.0007822
24,165.478,0.83516,1.0757,1.25176,0.91473,0.82688,0.8929,0.65813,0.97526,1.07285,1.51937,0.0007723,0.0007723,0.0007723
25,173.224,0.84853,1.14874,1.24464,0.90844,0.84196,0.91922,0.63014,1.04545,0.99311,1.54009,0.0007624,0.0007624,0.0007624
26,178.473,0.89818,1.06337,1.23941,0.91953,0.81708,0.90778,0.66143,1.04077,0.91024,1.52482,0.0007525,0.0007525,0.0007525
27,186.018,0.80914,0.96809,1.20852,0.94469,0.80277,0.88456,0.64067,0.99283,0.94896,1.50923,0.0007426,0.0007426,0.0007426
28,192.201,0.81182,1.11574,1.26542,0.95977,0.85216,0.92525,0.66098,0.98209,0.92133,1.4829,0.0007327,0.0007327,0.0007327
29,197.787,0.78055,1.02987,1.21923,0.9085,0.89234,0.9454,0.71796,0.95875,0.82338,1.45306,0.0007228,0.0007228,0.0007228
30,206.487,0.84762,1.05088,1.26669,0.87528,0.84556,0.91917,0.65655,1.05129,0.9757,1.53281,0.0007129,0.0007129,0.0007129
31,212.206,0.8094,1.02364,1.24458,0.87853,0.87186,0.89503,0.59995,1.29114,1.01944,1.79676,0.000703,0.000703,0.000703
32,217.765,0.79876,1.07755,1.20017,0.89696,0.87614,0.92636,0.60885,1.11175,0.96625,1.61972,0.0006931,0.0006931,0.0006931
33,225.564,0.74753,1.00777,1.17966,0.9673,0.89193,0.9444,0.68514,1.04829,0.8071,1.54169,0.0006832,0.0006832,0.0006832
34,231.138,0.78818,0.95562,1.21178,0.96037,0.82121,0.93513,0.66324,1.06513,0.86725,1.51985,0.0006733,0.0006733,0.0006733
35,237.919,0.76808,0.90811,1.16401,0.92729,0.84112,0.92048,0.69087,0.98756,0.93226,1.48346,0.0006634,0.0006634,0.0006634
36,245.079,0.81122,0.96354,1.24513,0.87745,0.8889,0.92154,0.67277,1.02847,0.91322,1.50416,0.0006535,0.0006535,0.0006535
37,250.523,0.79083,0.91873,1.16872,0.89557,0.8585,0.9191,0.69666,0.98298,0.89737,1.45317,0.0006436,0.0006436,0.0006436
38,258.93,0.76032,0.86994,1.1978,0.93018,0.86591,0.92584,0.67722,0.95559,0.86675,1.40844,0.0006337,0.0006337,0.0006337
39,264.861,0.67204,0.90433,1.15255,0.93764,0.84811,0.93095,0.66758,0.97866,0.82466,1.43647,0.0006238,0.0006238,0.0006238
40,274.137,0.7796,0.99411,1.21195,0.94822,0.89802,0.93337,0.6724,1.03058,0.80208,1.4905,0.0006139,0.0006139,0.0006139
41,281.625,0.77343,0.83994,1.18706,0.93576,0.91356,0.93974,0.70091,0.98197,0.74781,1.45612,0.000604,0.000604,0.000604
42,286.925,0.7276,0.95226,1.19628,0.96131,0.90055,0.94756,0.70725,0.97204,0.73765,1.48283,0.0005941,0.0005941,0.0005941
43,293.541,0.68731,0.84608,1.17055,0.95587,0.89956,0.94722,0.70468,0.97814,0.71359,1.47717,0.0005842,0.0005842,0.0005842
44,300.766,0.72988,0.83642,1.14484,0.92706,0.85229,0.91756,0.65835,1.02335,0.86594,1.5188,0.0005743,0.0005743,0.0005743
45,306.412,0.70034,0.76262,1.17642,0.90725,0.86183,0.91328,0.66447,0.99759,0.94669,1.49542,0.0005644,0.0005644,0.0005644
46,314.365,0.71926,0.84079,1.16603,0.93503,0.8983,0.91772,0.68078,0.93516,0.87234,1.42851,0.0005545,0.0005545,0.0005545
